dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.018597	0.27875	0.21689	0.18026	0.24312	0.35508	0.28919	0.29605	0.29153	0.32511	0.29436	0.28662	0.022568	0.015687	0.026453	0.016826	0.027177	0.35508	0.14504	0.06421	-0.080832	0.094205	0.14655	0.14971	0.15235	0.15349	0.14688	0.80104	0.19353	0.77183	0.81523	0.82818	0.087683	0.036408	0.061122	0.04909	0.071955	0.058258	0.033292	0.063346	0.10676	0.10239	0.02245	0.0020435	0.0040928	0.0034591	0.0001227	0.0058268	0.22653	0.26649	0.21596	0.23946	0.0040109	-0.14083	0.018154	0.039482	0.061008	-0.10459	-0.10976	0.13519	0.13925	0.14111	0.070912	-0.046979	-0.01119	0.011198	-0.1362	0.12608	-0.038838	-0.01191	0.039895	0.0080446	-0.04763	-0.039585	-0.023141	-0.035691	1.8921	446
0.020637	0.32355	0.27432	0.23728	0.31929	0.37401	0.31987	0.34386	0.29047	0.33294	0.32488	0.30264	0.021669	0.015914	0.013863	0.01207	0.013867	0.37401	0.15553	0.034371	-0.12116	0.077038	0.16359	0.18104	0.1993	0.21626	0.22427	0.63438	0.15196	0.69825	0.83434	0.83283	0.13595	0.085953	0.073788	0.11141	0.12379	0.088862	0.10473	0.14178	0.17562	0.1483	0.09864	0.0048455	0.0014935	0.0021662	0.0016619	0.0013797	0.2145	0.21191	0.21563	0.21833	0.13843	0.045215	0.070783	0.03402	0.072358	-0.08053	-0.13429	-0.039855	0.031624	-0.047416	-0.14056	-0.045749	0.14099	-0.13765	-0.13773	0.012182	-0.10338	-0.061318	0.24503	0.025204	-0.047578	-0.042112	0.0321	-0.036628	2.0157	455
0.011106	0.10734	0.27497	0.34448	0.26135	0.23291	0.15065	0.20775	0.41348	0.22387	0.042686	0.18407	0.016962	0.014811	0.025253	0.018435	0.012104	0.41348	0.16255	0.081471	-0.081079	0.0413	0.19363	0.27446	0.38428	0.51591	0.60077	0.43333	0.19059	0.20991	0.47782	0.55939	0.014184	0.10196	0.075861	0.12455	0.0033528	0.051659	0.094445	0.18313	0.099802	0.020292	0.016554	0.002735	0.0016408	0.0015003	0.001396	0.0016653	0.23499	0.23216	0.20776	0.22777	0.0025701	-0.0043929	0.10168	0.13815	-0.039526	0.095488	0.13902	0.10569	0.12291	0.14128	0.11242	0.12539	-0.14127	0.13517	0.020212	-0.14126	0.38658	0.22225	0.5269	0.35868	0.088655	0.021179	0.21832	0.084667	1.4798	322
0.010405	0.10711	0.23203	0.33872	0.27143	0.20316	0.15545	0.21569	0.4158	0.22307	0.043408	0.18324	0.01668	0.014854	0.025356	0.018045	0.013614	0.4158	0.14374	0.071372	-0.072368	0.039996	0.17232	0.24739	0.35062	0.47543	0.55291	0.44167	0.15539	0.20991	0.45744	0.53866	0.040953	0.10639	0.061946	0.056139	0.016129	0.047562	0.098259	0.19866	0.10612	0.0169	0.014943	0.00238	0.0028822	0.00090765	0.00082609	0.00015152	0.22617	0.21439	0.21129	0.21897	-0.0054069	0.13923	0.083472	0.10512	-0.11795	0.10166	0.13914	0.13497	0.14043	0.13825	0.10061	0.11401	0.13011	-0.028953	0.061541	0.098866	0.40122	0.25709	0.55084	0.3926	0.10049	0.038554	0.23492	0.1093	1.4323	390
0.020784	0.35496	0.45976	0.50187	0.7295	0.74025	0.71818	0.66362	0.60956	0.49231	0.4543	0.27576	0.028345	0.014583	0.017045	0.011512	0.015421	0.74025	0.70629	0.39983	-0.30647	0.10231	0.70196	0.69394	0.68364	0.66779	0.61587	0.11354	0.17787	1.114	1.3665	1.1781	0.053608	0.23401	0.25127	0.36219	0.363	0.34803	0.31985	0.29237	0.23577	0.21696	0.064684	0.013476	0.0025672	0.0011563	0.0013821	0.0039305	0.045309	0.36993	0.13108	0.28475	-0.13661	0.064529	0.081298	0.090239	0.10394	0.1177	0.1242	0.13012	0.13199	0.13549	0.14002	0.14118	-0.10407	-0.12017	-0.11246	-0.12673	-0.00041686	-0.011395	0.040425	0.28172	-0.047326	-0.053526	-0.048866	0.024572	1.6859	3056
0.0092668	0.068544	0.10317	0.13262	0.23379	0.31347	0.31868	0.28322	0.46243	0.44173	0.31166	0.10187	0.0097003	0.021149	0.018611	0.012284	0.012828	0.46243	0.29362	0.13893	-0.15469	0.039063	0.35368	0.51251	0.7329	1.001	1.1624	0.25938	0.15905	0.71472	0.90583	0.95346	0.029681	0.017561	0.039897	0.1127	0.055671	0.15394	0.13476	0.22328	0.21001	0.14829	0.048429	5.7593e-05	0.0003956	0.0028136	0.0023081	0.0025581	0.29754	0.31191	0.27935	0.30446	0.016345	0.028102	-0.13955	0.124	-0.14119	0.1215	0.14016	0.12206	0.14114	0.14016	0.14118	-0.053512	-0.13721	-0.13154	-0.12695	0.09233	0.27396	0.049003	0.29543	0.19068	0.014938	-0.039154	0.025752	-0.015936	1.7972	461
0.010902	0.08802	0.12493	0.20457	0.26678	0.11874	0.36025	0.36089	0.47129	0.46291	0.30973	0.099648	0.013187	0.021159	0.015575	0.012755	0.011768	0.47129	0.082631	0.017948	-0.064683	0.039429	0.099346	0.14343	0.20439	0.27836	0.32346	0.63125	0.13604	0.20902	0.14803	0.14464	0.023468	0.065515	0.1105	0.032969	0.0075008	0.03909	0.08548	0.11446	0.05611	0.032522	0.00034049	0.00059758	0.0010665	0.00016877	0.00039904	0.00013101	0.28249	0.3061	0.25943	0.28493	-0.14081	0.036717	-0.12654	-0.026626	-0.030393	0.13486	-0.14129	0.0081532	0.089098	0.13697	-0.13239	0.084696	0.13967	-0.13818	-0.0075524	-0.031628	0.2786	0.27165	0.37203	0.30341	0.020365	0.012494	0.065551	0.029476	1.5119	318
0.01291	0.22088	0.15764	0.69866	0.79131	0.5832	0.29427	0.33592	0.50544	0.48086	0.65032	0.40218	0.020703	0.024749	0.028217	0.019815	0.018969	0.79131	0.62004	0.33895	-0.28108	0.068651	0.66734	0.77316	0.89021	1.007	1.0853	0.17396	0.14864	0.46058	0.55805	0.76127	0.02217	0.061543	0.33563	0.38366	0.27963	0.14149	0.16245	0.24324	0.23035	0.31077	0.19202	0.0059187	0.0021021	0.0012834	0.0070631	0.0015647	0.03773	0.30763	0.072857	0.23594	-0.078679	-0.0013056	0.1282	0.1171	0.13056	0.12716	0.12014	0.12604	0.1317	0.1347	0.13582	0.093475	-0.065467	0.080741	0.13407	0.068357	0.23919	0.067497	0.14959	0.37126	-0.0037363	-0.036668	-0.015627	0.085662	1.3977	1233
0.016875	0.24718	0.16254	0.20627	0.31476	0.28283	0.31244	0.40169	0.35133	0.27225	0.21578	0.26458	0.024843	0.015368	0.011714	0.012792	0.013641	0.40169	0.26233	0.098486	-0.16384	0.073594	0.27845	0.31381	0.35167	0.38799	0.40886	0.40729	0.22414	0.69874	0.87526	0.82438	0.099193	0.052327	0.07681	0.090172	0.12683	0.16212	0.19397	0.16929	0.14023	0.10026	0.066568	0.0024825	0.0029366	0.0012163	0.00023364	0.0025305	0.25628	0.29282	0.21837	0.26513	-0.090992	-0.062447	-0.1287	-0.051682	0.024119	0.046231	0.12192	0.12449	0.035135	0.081561	0.14091	-0.13307	0.14074	0.13332	0.067989	0.1409	0.065791	-0.054857	0.14486	0.053245	-0.038465	-0.057697	-0.01962	-0.047958	1.979	412
0.022142	0.5458	0.51818	0.6727	0.58537	0.40869	0.46111	0.37569	0.41683	0.28297	0.30185	0.075469	0.010016	0.011824	0.012086	0.018599	0.013154	0.6727	0.04485	0.043715	-0.0011349	0.070237	0.048052	0.055168	0.062958	0.070637	0.07559	0.77708	0.058973	0.17529	0.22136	0.31815	0.26027	0.12969	0.16429	0.14817	0.063494	0.062478	0.053507	0.051898	0.035012	0.04141	0.010014	0.00048571	0.0050813	0.0023733	0.001415	0.0017032	0.062786	0.12167	0.19989	0.15134	0.14133	0.10732	-0.096285	-0.14109	0.12184	0.14108	0.14033	0.13975	0.091881	0.12361	0.13477	0.0088884	0.11319	-0.10637	-0.010212	-0.13756	0.41629	0.37313	0.25046	0.42306	0.11409	0.065114	0.0075857	0.12759	1.2323	466.5
